scientificName,match_key,genus,commonName,description,bookPage,indexSection,category,subCategory,source
Laguncularia racemosa,laguncularia racemosa,Laguncularia,,,9,MARINE PLANTS,plants,mangroves,scientific_index
Lamellaria perspicua,lamellaria perspicua,Lamellaria,Transparent Lamellaria,Fleshy mantle covers the entire shell. May be confused for a sea slug; distinctive single raised siphon at front.,211,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
Lampasopsis thomae,lampasopsis thomae,Lampasopsis,St Thomas Frog snail,Thick-bodied creamy white shell with rounded knobs. Spiral cords with white and brown spots on final whorl.,235,INVERTEBRATES,invertebrates,snails,epub_profile
Latreutes fucorum,latreutes fucorum,Latreutes,Slender sargassum shrimP,"Highly variable in color and markings, solid brown or with white bands or blue spots, Sharply upturned rostrum.",255,INVERTEBRATES,invertebrates,shrimps,epub_profile
Laurencia chondrioides,laurencia chondrioides,Laurencia,red-tipped alga,Short bush of cylindrical pale pink branches. Alternating branchlets with distinctively red tips and fine filaments.,37,MARINE PLANTS,plants,red-algae,epub_profile
Laviactis lucida,laviactis lucida,Laviactis,Knobby anemone,Numerous long transparent tentacles from a hidden oral disc. Small densely packed knobs of stinging cells.,121,INVERTEBRATES,invertebrates,anemones,epub_profile
Leander tenuicornis,leander tenuicornis,Leander,brown grass shrimp,Prominent hump on the back. Often two ocellated spots on lower body. Found in the shallows and on seagrass.,257,INVERTEBRATES,invertebrates,shrimps,epub_profile
Learchis poica,learchis poica,Learchis,Freddie Mercury’s dondice,"Head with orange line and two leaf-like marks. Red rings on bulbous cerata. Bluish band at base of oral tentacles. Translucent to orange with dark cerata. White on head, white stripe down body. On hydroid P. disticha (p. 137).",199,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
Lebrunia coralligens,lebrunia coralligens,Lebrunia,,,121,INVERTEBRATES,invertebrates,anemones,scientific_index
Lebrunia neglecta,lebrunia neglecta,Lebrunia,Branching anemone,Small brownish knobs on thin branching finger-like tentacles. Often with pale brown to white highlights.,121,INVERTEBRATES,invertebrates,anemones,epub_profile
Leodia sexiesperforata,leodia sexiesperforata,Leodia,six keyhole sand dollar,Disc-shaped body with a pentagonal design on the back. Six elongated holes around the edges. Very short spines.,151,INVERTEBRATES,invertebrates,sea-urchins,epub_profile
Lepas anserifera,lepas anserifera,Lepas,grooved gooseneck barnacle,Bluish-white shell edged in orange. Short orange stalk. Found in clusters attached to floating debris and boats.,267,INVERTEBRATES,invertebrates,shrimps,epub_profile
Lepidochitona liozonis,lepidochitona liozonis,Lepidochitona,caribbean red chiton,"Smooth plates, often red with white spots. Rusty girdle, characteristically without overlapping scales. Uncommon.",219,INVERTEBRATES,invertebrates,chitons,epub_profile
Leptopisa setirostris,leptopisa setirostris,Leptopisa,roughnose decorator crab,"Two distinctively long horns on rostrum, almost touching. Two slightly curved white spines at rear of carapace.",277,INVERTEBRATES,invertebrates,crabs,epub_profile
Leucaltis clathria,leucaltis clathria,Leucaltis,,,50,MARINE PLANTS,sponges,encrusting-sponges,scientific_index
Leucandra barbata,leucandra barbata,Leucandra,,,56,MARINE PLANTS,sponges,ball-sponges,scientific_index
Leucetta floridana,leucetta floridana,Leucetta,,,50,MARINE PLANTS,sponges,encrusting-sponges,scientific_index
Leucothea multicornis,leucothea multicornis,Leucothea,warty comb jelly,"The largest comb jelly. Long warty protrusions on body and large oral lobes, which may have brown markings.",113,INVERTEBRATES,invertebrates,jellies,epub_profile
Leucozonia nassa,leucozonia nassa,Leucozonia,Chestnut Latirus,Dark brown shell with knobbed ribs and a single thin white spiral cord. Deep red mantle with white speckles.,235,INVERTEBRATES,invertebrates,snails,epub_profile
Lima lima,lima lima,Lima,spiny fileclam,Pale rounded valves with fine ribs with small spines. Interior mantle and short tentacles are red to lavender.,214,INVERTEBRATES,invertebrates,clams,epub_profile
Limaria pellucida,limaria pellucida,Limaria,antillean fileclam,"Pale oblong valves with tiny spines on radiating ribs. Long pink to reddish tentacles, often with faint white banding.",214,INVERTEBRATES,invertebrates,clams,epub_profile
Limenandra nodosa,limenandra nodosa,Limenandra,Warty aeolid,Greenish-brown body with white patches on dorsum. Row of pink circles and yellow spots. Thick warty cerata.,200,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
Linckia guildingi,linckia guildingi,Linckia,common comet star,Four to seven rounded arms with blunt tips. All arms can be of different lengths. Color varies from orange to tan.,141,INVERTEBRATES,invertebrates,sea-stars,epub_profile
Linuche unguiculata,linuche unguiculata,Linuche,thimble jelly,Thimble-shaped bell is transparent on top and brown beneath. Few short tentacles. Often in large blooms.,107,INVERTEBRATES,invertebrates,jellies,epub_profile
Liopropoma carmabi,liopropoma carmabi,Liopropoma,candy basslet,Orange with purple stripes. Black ocellus on rear dorsal fin. Ocellated spots on tail not joined (compare: L. rubre).,397,FISHES,fishes,basslets,epub_profile
Liopropoma mowbrayi,liopropoma mowbrayi,Liopropoma,cave basslet,"Uniformly red body. Black bar on tail, edged in white. Black spot on tip of rear dorsal fin. Yellow patch on snout.",397,FISHES,fishes,basslets,epub_profile
Liopropoma rubre,liopropoma rubre,Liopropoma,peppermint basslet,Striped body. Dark spots on both rear dorsal and anal fins. Spots on tail are joined. All spots edged in white.,397,FISHES,fishes,basslets,epub_profile
Lipogramma trilineata,lipogramma trilineata,Lipogramma,threeline basslet,"Yellow body with three short blue lines, from snout and behind eye. Found on deeper reefs, often under ledges.",397,FISHES,fishes,basslets,epub_profile
Lithopoma phoebium,lithopoma phoebium,Lithopoma,longspine starsnail,Round flattened shell with curved triangular spines arranged spirally from the center. Prefers shallows.,230,INVERTEBRATES,invertebrates,snails,epub_profile
Lithopoma tectum,lithopoma tectum,Lithopoma,west indian starsnail,Robust conical shell with knobs around the lower edge. White mantle with speckles. Often covered in red algae.,230,INVERTEBRATES,invertebrates,snails,epub_profile
Lithothamnion ruptile,lithothamnion ruptile,Lithothamnion,Deepwater rose alga,"Pink to bright red plates of varying thickness, formed into rounded floral shapes. Only found on deeper reefs.",31,MARINE PLANTS,plants,red-algae,epub_profile
Lobatus gallus,lobatus gallus,Lobatus,roostertail conch,Reddish shell with white blotches. Distinctively flared tips grow both above the eyes and at rear of aperture lip.,241,INVERTEBRATES,invertebrates,conchs,epub_profile
Lobatus gigas,lobatus gigas,Lobatus,queen conch,Orange to brown shell is pink inside. The proboscis and eyestalks are mottled. Small eyes with black tentacles.,241,INVERTEBRATES,invertebrates,conchs,epub_profile
Lobatus raninus,lobatus raninus,Lobatus,hawkwing conch,Thick brown shell with two distinctively large spikes on the top. Yellow inside shell. Front aperture lip curves up.,241,INVERTEBRATES,invertebrates,conchs,epub_profile
Lobophora variegata,lobophora variegata,Lobophora,encrusting fan leaf alga,Variable thin fan-shaped blades. Shades of green to light brown. Often overlapping and covering large areas.,27,MARINE PLANTS,plants,brown-algae,epub_profile
Lobotes surinamensis,lobotes surinamensis,Lobotes,atlantic tripletail (juvenile),Pale brown body with dark blotches and lines. Brown bar through eye. Mimics floating sargassum or dead leaves.,431,FISHES,fishes,porgies,epub_profile
Loimia medusa,loimia medusa,Loimia,medusa worm,Reddish body with numerous long banded tentacles. Sharp bristles along the body used to move inside a sandy tube.,162,INVERTEBRATES,invertebrates,worms,epub_profile
Lolliguncula brevis,lolliguncula brevis,Lolliguncula,Atlantic Brief squid,"Short arms and tentacles on a compact body, often with tiny black spots. Rounded fins connect at rear of body.",245,INVERTEBRATES,invertebrates,squids,epub_profile
Lomanotus phiops,lomanotus phiops,Lomanotus,Phiops nudibranch,Translucent gray to light brown with white and brown spots. Rhinophores distinctively tall with conical tips.,195,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
Lophogobius cyprinoides,lophogobius cyprinoides,Lophogobius,Crested goby,Males with raised fleshy crest along midline of head. Dark stripes behind eye. Shallow coasts and mangroves.,301,FISHES,fishes,gobies,epub_profile
Lottia antillarum,lottia antillarum,Lottia,Antilles limpet,White shell with scattered brown blotches. Evenly sized concentric ribs run to a slightly scalloped shell edge.,220,INVERTEBRATES,invertebrates,limpets,epub_profile
Lottia suffusa,lottia suffusa,Lottia,,,221,INVERTEBRATES,invertebrates,limpets,scientific_index
Lucapina suffusa,lucapina suffusa,,Cancellate Fleshy Limpet,Flattened oval shell with alternating large and small ribs and finely toothed margin. Mantle color highly variable.,221,,invertebrates,limpets,epub_profile
Lucapinella limatula,lucapinella limatula,Lucapinella,File Fleshy Limpet,"Relatively large aperture. Distinctive concentric threads over the ribs, giving the appearance of a file’s surface.",221,INVERTEBRATES,invertebrates,limpets,epub_profile
Lucayablennius zingaro,lucayablennius zingaro,Lucayablennius,arrow blenny,Reddish body and yellow tail. Long pointed snout. Yellow stripe from snout to nape. Three black spots at rear dorsal fin.,308,FISHES,fishes,blennies,epub_profile
Luria cinerea,luria cinerea,Luria,atlantic gray cowrie,Smooth tan shell with scattered dark spots. Light brown mantle. Black tentacles. Also found in solid gray to black.,234,INVERTEBRATES,invertebrates,snails,epub_profile
Lutjanus analis,lutjanus analis,Lutjanus,mutton snapper,Distinctive small black spot on upper flank. Faint blue line under eye. Reddish tail and pectoral fin. Red iris.,414,FISHES,fishes,snappers,epub_profile
Lutjanus apodus,lutjanus apodus,Lutjanus,schoolmaster,"Olive to yellowish body, pale near abdomen. May display body bars. Yellow fins and tail. Prominent canine teeth.",412,FISHES,fishes,snappers,epub_profile
Lutjanus buccanella,lutjanus buccanella,Lutjanus,blackfin snapper (juvenile),Pale gray to light brown body. Yellow patch on upper tail base and a yellow tail. Black spot at base of pectoral fin.,413,FISHES,fishes,snappers,epub_profile
Lutjanus cyanopterus,lutjanus cyanopterus,Lutjanus,cubera snapper,The largest of the snappers. Heavy body with large head and thickened lips. May display contrasting body bars.,415,FISHES,fishes,snappers,epub_profile
Lutjanus griseus,lutjanus griseus,Lutjanus,gray snapper,Uniformly gray to olive body with a sloping forehead. May display darker bar through eye. Rounded anal fin.,415,FISHES,fishes,snappers,epub_profile
Lutjanus jocu,lutjanus jocu,Lutjanus,dog snapper,Olive to bronze with a distinctive white triangle under eye. Often blue spots on gill cover. May show faint body bars.,414,FISHES,fishes,snappers,epub_profile
Lutjanus mahogoni,lutjanus mahogoni,Lutjanus,mahogany snapper (juvenile),Pale body with a single dark midbody spot. Stripe from snout to top of gill cover. Pelvic and anal fins are pale.,415,FISHES,fishes,snappers,epub_profile
Lutjanus synagris,lutjanus synagris,Lutjanus,lane snapper,Silvery body with several yellow stripes. Often a single dark spot under soft dorsal fin (may lighten or disappear).,413,FISHES,fishes,snappers,epub_profile
Lychnorhiza lucerna,lychnorhiza lucerna,Lychnorhiza,marbled jelly,"Rounded bell, often with marbled black markings. Bulbous oral arms. Shorter clusters of white tentacles.",107,INVERTEBRATES,invertebrates,jellies,epub_profile
Lygdamis wirtzi,lygdamis wirtzi,Lygdamis,Honeycomb worm,Twin crowns of thin black spikes. Found in short tubes constructed of sand. Retracts quickly when approached.,164,INVERTEBRATES,invertebrates,worms,epub_profile
Lysiosquilla glabriuscula,lysiosquilla glabriuscula,Lysiosquilla,Reef mantis,"Brick red to mottled dark brown with distinctively dark, almost black, eyes. Darker red banding on claw arms.",263,INVERTEBRATES,invertebrates,shrimps,epub_profile
Lysiosquilla scabricauda,lysiosquilla scabricauda,Lysiosquilla,scaly-tailed mantis,The largest of the mantis shrimps. Golden antennal plates with dark speckles. Found in rounded burrows in the sand.,262,INVERTEBRATES,invertebrates,shrimps,epub_profile
Lysmata ankeri,lysmata ankeri,Lysmata,Anker’s peppermint shrimp,Pale reddish-orange with dark red stripes. Distinctive curved red line where abdomen slopes down to tail.,254,INVERTEBRATES,invertebrates,shrimps,epub_profile
Lysmata grabhami,lysmata grabhami,Lysmata,scarlet-striped cleaner shrimp,Yellow legs and body with two broad red stripes down the back. Long white antennae. Often found in pairs.,249,INVERTEBRATES,invertebrates,shrimps,epub_profile
Lysmata pederseni,lysmata pederseni,Lysmata,sponge peppermint shrimp,Translucent body with thin red stripes. Two distinctively curved bands near abdomen. Commonly found in pairs.,254,INVERTEBRATES,invertebrates,shrimps,epub_profile
Lytechinus variegatus,lytechinus variegatus,Lytechinus,variegated urchin,"Pale body with numerous white podia. Short red, purple or white spines in sparse rows, following the plate lines.",151,INVERTEBRATES,invertebrates,sea-urchins,epub_profile
Lytechinus williamsi,lytechinus williamsi,Lytechinus,jewel urchin,Pale body with red lines between each segment. Green spines. Short podia ending in clear or small purple balls.,150,INVERTEBRATES,invertebrates,sea-urchins,epub_profile
Lythrypnus crocodilus,lythrypnus crocodilus,Lythrypnus,Mahogany goby,Wide dark brown bars. Thin white lines in interspaces. Red dorsal and anal fins. Dark spot at pectoral base.,293,FISHES,fishes,gobies,epub_profile
Lythrypnus elasson,lythrypnus elasson,Lythrypnus,dwarf goby,Reddish to orange body with no bars. Rounded orange spots below eye. Males have long first dorsal spines.,292,FISHES,fishes,gobies,epub_profile
Lythrypnus heterochroma,lythrypnus heterochroma,Lythrypnus,diphasic goby,"Bright red to orange with prominent barred pattern, bars become stripes to rear. Dark zigzag bars over abdomen.",292,FISHES,fishes,gobies,epub_profile
Lythrypnus minimus,lythrypnus minimus,Lythrypnus,Pygmy goby,Uniform reddish to orange with faint bars alternating with thin rows of white spots. Internal white band at midbody.,293,FISHES,fishes,gobies,epub_profile
Lythrypnus spilus,lythrypnus spilus,Lythrypnus,Bluegold goby,Prominent wide orange bars. Blue-gray interspaces with midline thin white lines. Two orange bars below eye.,293,FISHES,fishes,gobies,epub_profile
Macrocoeloma diplacanthum,macrocoeloma diplacanthum,Macrocoeloma,Bifid decorator crab,Two non-parallel horns on rostrum. Postero-lateral spine has two lobes (compare to pointed on M. trispinosum).,277,INVERTEBRATES,invertebrates,crabs,epub_profile
Macrocoeloma nodipes,macrocoeloma nodipes,Macrocoeloma,nodipes decorator crab,"Postero-lateral spine broad, continuous with body. Short horns on rostrum (compare to long on M. trispinosum).",277,INVERTEBRATES,invertebrates,crabs,epub_profile
Macrocoeloma trispinosum,macrocoeloma trispinosum,Macrocoeloma,spongy decorator crab,Two adjacent horns on rostrum. Postero-lateral spine is sharply pointed. Usually found encrusted with sponges.,277,INVERTEBRATES,invertebrates,crabs,epub_profile
Macrocypraea zebra,macrocypraea zebra,Macrocypraea,measled cowrie,"Oval shell has white spots with brown centers (banded in juveniles). Mantle color variable, gray to brown or black.",234,INVERTEBRATES,invertebrates,snails,epub_profile
Macrorhynchia philippina,macrorhynchia philippina,Macrorhynchia,white stinger,Rigid stalk with only a few branches. Distinctively bright white polyps run in pairs down both stalk and branches.,137,INVERTEBRATES,invertebrates,hydroids,epub_profile
Macrostrombus costatus,macrostrombus costatus,Macrostrombus,Milk Conch,Thick-walled pale shell with a creamy color inside. Body whorl with large rounded spikes. On sand and seagrass.,240,INVERTEBRATES,invertebrates,conchs,epub_profile
Macrotritopus defilippi,macrotritopus defilippi,Macrotritopus,atlantic longarm octopus,Distinctively long narrow arms. Gray to light brown with widely spaced white spots. Usually found in sandy areas.,243,INVERTEBRATES,invertebrates,octopuses,epub_profile
Madracis auretenra,madracis auretenra,Madracis,,,71,CORALS,corals,branching-corals,scientific_index
Madracis carmabi,madracis carmabi,Madracis,,,71,CORALS,corals,branching-corals,scientific_index
Madracis decactis,madracis decactis,Madracis,,,85,CORALS,corals,star-corals,scientific_index
Madracis pharensis,madracis pharensis,Madracis,,,85,CORALS,corals,star-corals,scientific_index
Madracis senaria,madracis senaria,Madracis,,,85,CORALS,corals,star-corals,scientific_index
Maguimithrax spinosissimus,maguimithrax spinosissimus,Maguimithrax,channel clinging crab,"Only the male has very large claws, often longer than width of carapace. Brick-red above, white on abdomen.",286,INVERTEBRATES,invertebrates,crabs,epub_profile
Maguimithrax variegata,maguimithrax variegata,Maguimithrax,,,161,INVERTEBRATES,invertebrates,worms,scientific_index
Malacanthus plumieri,malacanthus plumieri,Malacanthus,Sand tilefish (juvenile),"Yellow stripe from eye, broadening towards tail. Large black spot on tail base. Hovers close to a small burrow.",427,FISHES,fishes,silvery-fishes,epub_profile
Malacoctenus aurolineatus,malacoctenus aurolineatus,Malacoctenus,goldline blenny,"Three prominent dark anterior bars, often fusing to form a smudgy H shape. Lower head usually strongly barred.",313,FISHES,fishes,blennies,epub_profile
Malacoctenus boehlkei,malacoctenus boehlkei,Malacoctenus,diamond blenny,Yellow head with pointed snout. Ocellated blue spot on first dorsal fin. Usually found near Giant Anemones (p. 116).,312,FISHES,fishes,blennies,epub_profile
Malacoctenus erdmani,malacoctenus erdmani,Malacoctenus,Imitator blenny,"Heavily speckled greenish-gray body. Distinctive dark-rimmed, green to bluish square spot on upper rear body.",313,FISHES,fishes,blennies,epub_profile
Malacoctenus gilli,malacoctenus gilli,Malacoctenus,Dusky blenny,"Faint bars and heavy dark/light speckling. Distinctive ocellated blue spot on upper rear body, onto dorsal fin.",313,FISHES,fishes,blennies,epub_profile
Malacoctenus macropus,malacoctenus macropus,Malacoctenus,rosy blenny (female),"Color varies, with dark upper body and pale lower body, with indistinct blotches and heavy dark/light speckling.",313,FISHES,fishes,blennies,epub_profile
Malacoctenus triangulatus,malacoctenus triangulatus,Malacoctenus,saddled blenny (variation),"Saddled Blennies are highly variable in color, from tan to yellowish to red-spotted. The saddles may be indistinct.",312,FISHES,fishes,blennies,epub_profile
Malmgreniella variegata,malmgreniella variegata,,Variegated Scale Worm,White to pale brown scales with thin black margins. Dark crescents on inner half of each overlapping scale.,161,,invertebrates,worms,epub_profile
Manicina areolata,manicina areolata,Manicina,,,79,CORALS,corals,cactus-corals,scientific_index
Martensia pavonia,martensia pavonia,Martensia,peacock alga,Flattened blades of purplish or red to pink alga with a distinctive network of holes and frills on the outer edges.,35,MARINE PLANTS,plants,red-algae,epub_profile
Meandrina danae,meandrina danae,Meandrina,,,79,CORALS,corals,cactus-corals,scientific_index
Meandrina jacksoni,meandrina jacksoni,Meandrina,,,79,CORALS,corals,cactus-corals,scientific_index
Meandrina meandrites,meandrina meandrites,Meandrina,,,79,CORALS,corals,cactus-corals,scientific_index
Megalops atlanticus,megalops atlanticus,Megalops,tarpon,Silvery body with distinctively large scales and a large upturned mouth. Dark grayish fins. Mostly nocturnal.,426,FISHES,fishes,silvery-fishes,epub_profile
Melanella hypsela,melanella hypsela,Melanella,Sharp Eulima,Long sharply pointed white shell with reddish highlights. Dark eyespots. Parasitic on sea cucumbers (p. 152).,231,INVERTEBRATES,invertebrates,snails,epub_profile
Melichthys niger,melichthys niger,Melichthys,black durgon,Dark blue to black with pale blue-white lines along base of dorsal and anal fins. Blue lines radiate above eye.,365,FISHES,fishes,triggerfishes,epub_profile
Melongena melongena,melongena melongena,Melongena,Caribbean Crown conch,Orange-brown shell with small pointed spire. Final whorl with row of short spikes. Dark stripe on brown tentacles.,241,INVERTEBRATES,invertebrates,conchs,epub_profile
Meoma ventricosa,meoma ventricosa,Meoma,red heart urchin,"Rounded dome-shaped body, flattened on the bottom. Short brown spines. Buries into sand during the day.",151,INVERTEBRATES,invertebrates,sea-urchins,epub_profile
Mesochaetopterus stinapa,mesochaetopterus stinapa,Mesochaetopterus,palp worm,"Palp worms bury into sand, extending two tentacles to feed. This species is recognized by its colored bands.",165,INVERTEBRATES,invertebrates,worms,epub_profile
Metapenaeopsis goodei,metapenaeopsis goodei,Metapenaeopsis,velvet shrimp,Translucent body with pale red markings and long thin antennae. Buries quickly into sand when disturbed.,259,INVERTEBRATES,invertebrates,shrimps,epub_profile
Microdictyon umbilicatum,microdictyon umbilicatum,Microdictyon,green net alga,A fine network of thin tubular threads that interconnect. Pale to dark green. Can cover large areas of the reef.,17,MARINE PLANTS,plants,green-algae,epub_profile
Micrognathus crinitus,micrognathus crinitus,Micrognathus,banded pipefish,Short snout. Pale irregular body bars and sometimes a thin brown central line running the length of the body.,345,FISHES,fishes,pipefishes,epub_profile
Microgobius gulosus,microgobius gulosus,Microgobius,clown goby,Two rows of irregular brown blotches. White lines under eye. White bar behind pectoral. Florida/Gulf of Mexico.,296,FISHES,fishes,gobies,epub_profile
Microgobius microlepis,microgobius microlepis,Microgobius,Banner goby,Bluish-gray body. Iridescent blue stripes below eye. Builds burrows in silty bottoms. Florida/W Caribbean.,296,FISHES,fishes,gobies,epub_profile
Micromelo undatus,micromelo undatus,Micromelo,Miniature Melo,White shell with reddish-brown wavy lines. Pale mantle with large white spots and greenish-yellow margins.,211,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
Microprosthema manningi,microprosthema manningi,Microprosthema,Tawny conch shrimp,Translucent body with small spines and large claws. Found in shallow coral debris and dead conch shells.,256,INVERTEBRATES,invertebrates,shrimps,epub_profile
Microprosthema semilaeve,microprosthema semilaeve,Microprosthema,crimson coral Shrimp,Bright red body curving upwards near the tail. Large red claws with pale tips. Found in areas of sand and rubble.,256,INVERTEBRATES,invertebrates,shrimps,epub_profile
Microspathodon chrysurus,microspathodon chrysurus,Microspathodon,yellowtail damselfish (juvenile),Dark blue with iridescent blue spots over entire body and head. Bright blue borders on fins. Translucent tail.,352,FISHES,fishes,damselfishes,epub_profile
Microspathodon tarapacana,microspathodon tarapacana,Microspathodon,,,441,FISHES,fishes,rays,scientific_index
Millepora alcicornis,millepora alcicornis,Millepora,,,73,CORALS,corals,branching-corals,scientific_index
Millepora complanata,millepora complanata,Millepora,,,73,CORALS,corals,branching-corals,scientific_index
Millepora squarrosa,millepora squarrosa,Millepora,,,73,CORALS,corals,branching-corals,scientific_index
Mithraculus cinctimanus,mithraculus cinctimanus,Mithraculus,banded clinging crab,Carapace and legs are hairy. Smooth red-banded claws. Most commonly found under larger anemones (p. 116).,287,INVERTEBRATES,invertebrates,crabs,epub_profile
Mithraculus coryphe,mithraculus coryphe,Mithraculus,nodose clinging crab,Deep grooves and knobs on a mottled green to reddish carapace. Three blunt spines to the rear. Banded legs.,287,INVERTEBRATES,invertebrates,crabs,epub_profile
Mithraculus forceps,mithraculus forceps,Mithraculus,red-ridged clinging crab,Carapace with long grooved indentations. Two sharp spines found just inside the claw arms. Smooth claws.,287,INVERTEBRATES,invertebrates,crabs,epub_profile
Mithraculus sculptus,mithraculus sculptus,Mithraculus,green clinging crab,Knobby green carapace with green legs and claws. Red spot inside joints of claw arms. Claws tipped with white.,287,INVERTEBRATES,invertebrates,crabs,epub_profile
Mithrax hispidus,mithrax hispidus,Mithrax,coral clinging crab,Wide red carapace and bristled legs. Numerous conical white spines on claw arms. Blunt spines around eyes.,287,INVERTEBRATES,invertebrates,crabs,epub_profile
Mitrella ocellata,mitrella ocellata,Mitrella,White-spotted dove snail,Glossy elongated brown shell with a long spire. Round to oblong pale spots. Brown proboscis with white blotches.,227,INVERTEBRATES,invertebrates,snails,epub_profile
Mobula tarapacana,mobula tarapacana,,Chilean Devil ray,"Olive-brown on top. White below, becoming gray at rear edges. Mouth on underside (compare: M. aff. birostris).",441,,fishes,rays,epub_profile
Monacanthus ciliatus,monacanthus ciliatus,Monacanthus,fringed filefish,"Large dewlap on abdomen. Pronounced hump behind dorsal spine. Color varies, usually a white patch on side.",367,FISHES,fishes,filefishes,epub_profile
Monacanthus tuckeri,monacanthus tuckeri,Monacanthus,slender filefish,Sharply elongated snout. White reticulated body pattern. Can change colors quickly to match surrounding corals.,367,FISHES,fishes,filefishes,epub_profile
Monanchora arbuscula,monanchora arbuscula,Monanchora,red encrusting sponge,Thin-walled encrusting sponge in shades of pink to red. Large excurrent openings with dark red radiating veins.,45,MARINE PLANTS,sponges,encrusting-sponges,epub_profile
Monoplex nicobaricus,monoplex nicobaricus,Monoplex,goldmouth Triton,Thick-walled shell with irregular knobby surface and rusty brown patches and dark lines. Heavily spotted mantle.,237,INVERTEBRATES,invertebrates,snails,epub_profile
Monoplex pilearis,monoplex pilearis,Monoplex,hairy Triton,Yellowish with brown spiral ribs and a large body whorl. Spotted mantle. Juveniles covered in hairy protrusions.,237,INVERTEBRATES,invertebrates,snails,epub_profile
Monoplex vespaceus,monoplex vespaceus,Monoplex,dwarf hairy Triton,Orange to yellow shell with a sharply pointed spire. Elongated aperture with a distinctively toothed lip.,237,INVERTEBRATES,invertebrates,snails,epub_profile
Montastraea cavernosa,montastraea cavernosa,Montastraea,,,82,CORALS,corals,star-corals,scientific_index
Moreiradromia antillensis,moreiradromia antillensis,Moreiradromia,hairy sponge crab,Small dense bristles cover entire carapace and walking legs (last pair are longest for holding sponge in place).,276,INVERTEBRATES,invertebrates,crabs,epub_profile
Mourgona murca,mourgona murca,Mourgona,Murca Glass Slug (variation),"If the animal has not been feeding, the cerata’s digestive tracts are empty and it appears pale or even transparent.",185,INVERTEBRATES,invertebrates,sea-slugs,epub_profile
Mulloidichthys martinicus,mulloidichthys martinicus,Mulloidichthys,yellow goatfish,Distinctive yellow stripe from eye to tail base. Deeply forked yellow tail. Two thin fleshy barbels under chin.,339,FISHES,fishes,toadfishes,epub_profile
Munida angulata,munida angulata,Munida,Angular squat lobster,Pink to dark red and may have a pale stripe. Claw arms sometimes banded with yellow. Distinctively long claws.,268,INVERTEBRATES,invertebrates,shrimps,epub_profile
Munida pusilla,munida pusilla,Munida,common squat lobster,"Pink to dark red, often with a broad white stripe. White- banded legs and claw arms. Distinctively short claws.",268,INVERTEBRATES,invertebrates,shrimps,epub_profile
Muricea elongata,muricea elongata,Muricea,,,99,CORALS,corals,octocorals,scientific_index
Muricea laxa,muricea laxa,Muricea,,,99,CORALS,corals,octocorals,scientific_index
Muricea muricata,muricea muricata,Muricea,,,95,CORALS,corals,octocorals,scientific_index
Muricea pinnata,muricea pinnata,Muricea,,,95,CORALS,corals,octocorals,scientific_index
Muriceopsis flavida,muriceopsis flavida,Muriceopsis,,,99,CORALS,corals,octocorals,scientific_index
Mussa angulosa,mussa angulosa,Mussa,,,81,CORALS,corals,cactus-corals,scientific_index
Mycale laevis,mycale laevis,Mycale,,,47,MARINE PLANTS,sponges,encrusting-sponges,scientific_index
Mycale laxissima,mycale laxissima,Mycale,,,59,MARINE PLANTS,sponges,vase-sponges,scientific_index
Mycetophyllia aliciae,mycetophyllia aliciae,Mycetophyllia,,,79,CORALS,corals,cactus-corals,scientific_index
Mycetophyllia danaana,mycetophyllia danaana,Mycetophyllia,,,78,CORALS,corals,cactus-corals,scientific_index
Mycetophyllia ferox,mycetophyllia ferox,Mycetophyllia,,,78,CORALS,corals,cactus-corals,scientific_index
Mycetophyllia lamarckiana,mycetophyllia lamarckiana,Mycetophyllia,,,78,CORALS,corals,cactus-corals,scientific_index
Mycteroperca bonaci,mycteroperca bonaci,Mycteroperca,black grouper,Grayish-brown to black body with darker rectangular patches. Thin pale margins on pectoral fin and tail.,411,FISHES,fishes,groupers,epub_profile
Mycteroperca interstitialis,mycteroperca interstitialis,Mycteroperca,Yellowmouth grouper (juvenile),Sharply defined dark brown upper body and white lower body. White stripe from chin to bright yellow dorsal fin.,411,FISHES,fishes,groupers,epub_profile
Mycteroperca phenax,mycteroperca phenax,Mycteroperca,Scamp,Light brown body with rectangular brown spots (paw prints) arranged in stripes. Dusky tail with pale margin.,411,FISHES,fishes,groupers,epub_profile
Mycteroperca tigris,mycteroperca tigris,Mycteroperca,Tiger grouper (juvenile),"Bright yellow body with an irregular dark brown stripe running from lower lip, through eye to near tail base.",409,FISHES,fishes,groupers,epub_profile
Mycteroperca venenosa,mycteroperca venenosa,Mycteroperca,yellowfin grouper,"Pale lines outline irregular dark blotches on upper body, wavy lines on flank. Broad yellow margin on pectoral fin.",409,FISHES,fishes,groupers,epub_profile
Myrichthys breviceps,myrichthys breviceps,Myrichthys,sharptail eel,"Large white spots on brown to greenish body. Small yellow spots on head, circled in white. Protruding nostrils.",437,FISHES,fishes,eels,epub_profile
Myrichthys jacobus,myrichthys jacobus,Myrichthys,,,325,FISHES,fishes,squirrelfishes,scientific_index
